Bardiya,,Nepal,"Bardiya National Park is one of the most pristine conservation areas in the Terai and is home to the endangered Royal Bengal tiger and the famous One-horned rhinoceros besides countless other birds, mammals and reptiles. The national park is covered in vast Sal and riverine forests and tall elephant grass, and you can take jeep, rafting or birding safaris, and maybe even see a rare Gangetic dolphin in the Karnali river.      ",3,81.242701569,28.452872249,1,1
Chitwan,,Nepal,"Nepal conjures up images of snowy mountains, but it also has the terai, a grassy region of lower-lying plains. In the middle of these is the lovely Chitwan National Park, a great place to look for the endangered one-horned rhino, tigers, birds and plenty of other wildlife in varying landscapes. Its waterways even contain the rare Gangetic dolphin, so this is a fabulous spot for anyone who enjoys being out in the wild.",2,84.452391496,27.533569417,1,1
Dhulikhel,,Nepal,"Dhulikhel is a small quiet hill town known for lovely views over the hills and traditional Newari crafts. You can explore a tangle of cobbled laneways, discover ancient houses with sagging wooden frames, intricate carvings, hidden temples and thriving market squares, with old men smoking pipes, women hand spinning wool, traditional wood carving workshops and hidden gardens through ancient archways.    ",2,85.580915797,27.629877072,1,1
Kathmandu,,Nepal,"The ancient city of Kathmandu has expanded to occupy much of the Kathmandu valley, which also shelters the historic cities of Patan and Bhaktapur, and is surrounded by hills, with the Himalayan mountain range visible to the North. There is a wealth of places to see, wonderful shopping opportunities, and delicious food from around the world.",2,85.306219581,27.704548569,1,1
Lumbini,,Nepal,"Located close to Nepal's southern border with India, Lumbini is one of the four main sites of pilgrimage for Buddhists, as it is the birthplace of Gautama Buddha, the founder of Buddhism. Lumbini is a small, tranquil place with a spiritual atmosphere in keeping with its religious significance. From early morning to early evening, pilgrims from various countries perform chanting and meditation at the site.       ",1,83.282535997,27.461871982,1,1
Nagarkot,,Nepal,"Perched high on a ridge at the North Eastern edge of the Kathmandu valley, the small settlement of Nagarkot offers an uninterrupted view of the distant Himalayan Mountain range, with Mount Everest clearly visible in good weather. It’s a great base for easy hikes or just lazing around. Views are generally best at sunrise, during the winter months from October to March but you will be very lucky to catch more than a glimpse through the monsoon clouds between June and September.             ",2,85.525132297,27.723674691,1,1
Pokhara,,Nepal,"You will never forget your first view of the Annapurna range of the Himalayas from Pokhara. The stunning Macchapucchare, also known as ""Fishtail Mountain"", seems almost close enough to touch, and behind it loom the many peaks of the Annapurnas, several of them amongst the highest mountains in the world. Pokahara has a relaxed atmosphere, conducive to easy strolls and cups of tea by the lake, and enjoying the stunning views. ",2,83.969662574,28.208225799,1,1
Shuklaphanta,,Nepal,"The Shuklaphanta National Park has the largest grassland in the far western Terai. It used to be a popular hunting place for the Nepalese royalty before it became a protected area. The park is home to Nepal’s – maybe even Asia’s – largest population of swamp deer. Many more species can be found in the National Park, such as tigers, rhinos, crocodiles, wild elephants and migratory birds. ",3,80.25441354,28.854790204,1,1
Lukla,,Nepal,"Lukla (2,680m) is a small town in the Solukhumbu District of north-eastern Nepal which is the start and end point for treks in the Mount Everest region. Lukla contains a small airport, also known as Tenzing–Hillary Airport,  servicing the region, and a variety of shops and lodges catering to tourists and trekkers, providing western-style meals and trail supplies. ",1,86.7317148,27.687038473,1,1
Bandipur,,Nepal,"The well-preserved medieval Newari town of Bandipur has many fine examples of 18th-century architecture, as well as small cafes, shops and temples. You can wander the cobbled streets to explore on your own. Unlike most old trading posts in the Nepal hills, Bandipur retains its cultural attributes - temples, shrines, sacred caves, innumerable festivals, and Newari architecture that harks back to the Kathmandu Valley of old. ",1,84.40664154,27.937708154,1,1
Bhaktapur,,Nepal,"Culture-rich Bhaktapur is an fascinating town whose original architecture has been wonderfully maintained. The town is known as a producer of fine Newari crafts, especially pottery, which you can see drying in the large town squares.",2,85.428091569,27.672074382,1,1
Patan,,Nepal,"Beyond the suburbs of Kathmandu lies Patan, known for its lovely Durbar Square and its traditions of art and architecture. Built in 250AD, this is one of the three royal cities in the Kathmandu Valley. You can explore the temples and palaces of Durbar Square, and visit monuments like Royal Baths, Mahaboudha, Krishna Mandir and more. Patan also houses a Tibetan refugee camp, well worth a visit.",2,85.325887811,27.674322478,1,1
