3203,,,India,Rajasthan,Jaisalmer,H,1st Gate Home Fusion,Dhibba Para (near Fort Parking),Jaisalmer,345 001,2992,254462,94625 54462,info@1stgate.in  manoj@1stgate.in,http://www.1stgate.in/,,,INR,,
2932,,,India,Rajasthan,Jaipur,H,47 Jobner Bagh,Near Chandpol Metro Station T3  Chandpol Police Line,Jaipur,302 001,141,402 2187,,info@jobnerbagh.com,http://www.jobnerbagh.com/,,,INR,,
2304,,,India,Kerala,Mararikulam,H,A Beach Symphony,West of Mararikulam Beach Junction,Mararikulam,688 549,,,,reservations@amritara.co.in,www.abeachsymphony.com,,2303,INR,,
2922,,,India,Goa,Goa,H,Aashyana Cottages,C/o Aashyana Lakhanpal  Escrivao Vaddo  Candolim  Bardez,Goa,403 515,832,"2489276, 2489225","9767379684, 9834475351",contact@aashyanalakhanpal.com,,,,INR,,
2296,,,India,Kerala,Kochi,H,Abad Grande Residencia,1/373 Princes Street  Fort Cochin,Kochi,682 001,484,221 8984 / 85,,abad.grande@gmail.com  abad@vsnl.com  crs3@abadhotels.in,,,2297,INR,,
2291,,,India,Kerala,Kovalam,H,Abad Harmonia Beach Resort,Chowara P.O,Kovalam,695 501,471,2269665 /2268341,,,,,2038,INR,,
2125,,,India,Kerala,Kovalam,H,Abad Palmshore Beach Resort,"Light House Road  Kovalam Beach,   Vizhinjam",Trivandrum,695 521,471,248 1481,,,,,2038,INR,,
2287,AAFCA9540F,32AAFCA9540F1ZX,India,Kerala,Mararikulam,H,Abad Turtle Beach Resort,"Varankavala, Pollathai P.O,   ",Mararikulam,688 567,478,286 0965,Central reservations: 0484-4144145,jojo@magicmomentholidays.com  crs4@abadhotels.in  reservations@abadhotels.com,http://www.abadhotels.com/mararibeach/,,,INR,1,
2969,,,India,Assam,Guwahati,H,ABN Charaidew,,Guwahati,,,,,,,,2968,INR,,
2830,,,India,Meghalaya,Shillong,H,Aerodene Cottage,Lower Cleve Colony  ,Shillong,793 003,364,2224 958,,sharlene.das@gmail.com,www.aerodene.in,,,INR,,
3209,,,India,Kerala,Meppadi,H,After the Rains Resort,"Valathoor, Rippon  ",Meppadi,673 577,,,"63664 37962, 92498 61898",reservations@aftertherains.in  info@aftertherains.in,http://www.aftertherains.in/,,2576,INR,,
1910,,,India,Lakshadweep,Agatti,H,Agatti Island Beach Resort,,Agatti,,,,,,,,,INR,,
3055,,,India,Goa,Goa,H,Agonda Beach Resort,Agonda Beach,Goa,403 702,,,,info@agondabeachresort.com,,Check for availability on: https://vilasaahuta.cloudbeds.com/#/?check_in=04/08/2018&check_out=5/8/2018&page=1  ,,INR,,
3057,ATNPP3359B,30AABFW1580E1ZN,India,Goa,Goa,H,Agonda Cottages,Agonda Beach,Goa,403 702,,,,info@agondacottages.com,,Check for availability on: https://vilasaahuta.cloudbeds.com/#/?check_in=04/08/2018&check_out=5/8/2018&page=1,,INR,,
3151,,,India,Goa,Goa,H,Agonda Serenity Resort,Agonda Beach Road  Agonda,Goa,403 702,,,94225 79392,agondaserenityresort@gmail.com,http://www.agondaserenityresort.com/,,,INR,,
3151,,,India,Goa,Goa,A,Agonda Serenity Resort,Agonda Beach Road  Agonda,Goa,403 702,,,94225 79392,agondaserenityresort@gmail.com,http://www.agondaserenityresort.com/,,,INR,,
3059,,,India,Goa,Goa,H,Agonda Villas,Agonda Beach Road  Dhawalkhazan  Agonda,Goa,403 702,,,95270 65199,info@agondavillas.com,,Check for availability on: https://vilasaahuta.cloudbeds.com/#/?check_in=04/08/2018&check_out=5/8/2018&page=1,,INR,,
3056,,,India,Goa,Goa,H,Agonda White Sand,"(Near the cross), Dhawalkhazan  Agonda Beach",Goa,,,,,info@agondawhitesand.com,,Check for availability on: https://vilasaahuta.cloudbeds.com/#/?check_in=04/08/2018&check_out=5/8/2018&page=1,,INR,,
1564,,,India,Goa,Goa,A,Agrawals Mandovi Communication,"Opp. Catering College  406-1, PDA Plots  Alto Porvorim.",Goa,403 521,832,"2417620, 2417621",,anthony@odyssey.co.in    ,,,,INR,,
2877,,,India,Goa,Goa,H,Ahilya By-the-Sea,Coco Maia  787 Nerul-Reis Margos Road  Nerul,Goa,403 109,,,9821673322,info@ahilyabythesea.com  info@ahilyafort.com,https://www.facebook.com/AhilyabytheSea,,2341,INR,,
2340,,,India,Madhya Pradesh,Maheshwar,H,Ahilya Fort,,Maheshwar,451 224,7283,273 329,,info@ahilyafort.com,www.ahilyafort.com,,2341,INR,,
2340,,,India,Madhya Pradesh,Maheshwar,A,Ahilya Fort,,Maheshwar,451 224,7283,273 329,,info@ahilyafort.com,www.ahilyafort.com,,2341,INR,,
90,,,India,Maharashtra,Mumbai,H,Airport Kohinoor,Andheri - Kurla Road  Andheri (East)  ,Mumbai,400 059,22,820 9999,,,,,,INR,,
1873,,,India,Kerala,Kottayam,H,Aiswarya International,"Thirunakkara, Kottayam",Kottayam,686 001,481,"581 440, 580 210, 580 710",,aiswarya_int@yahoo.com,,,,INR,,
